"Sequence","Country Code","Geographic Area","Reference Date","Population Subgroup","Subpop Code","Sex","Age","Source ID","Comments","Data Type","Country","Site Name","Author","Year","Title","Publication Information","Virus Type","NO_CASES","NO_DEATHS","PREV_RATE","INC_RATE","Specimen Type","Test Type","SAMPSIZE"
"11","TZA","Not specified","1991-1993","Factory workers","N","F","15Y25Y","B0262","64.7 person yrs. of observation.  Breakdown by age is provided.","I","Tanzania","Not specified","Borgdorff, M. W., L. R. Barongo, A. H. Klokke, et al.",1995,"HIV-1 Incidence and HIV-1 Associated Mortality in a Cohort of Urban Factory Workers in Tanzania","Genitourinary Medicine, vol. 71, pp. 212-215.","HIV1","0","-1","-1.00","0.00","BW","ELISA, WB","105"
"10","TZA","Not specified","1991-1993","Factory workers","N","M","45Y+","B0262","183.3 person yrs. of observation.  Breakdown by age is provided.","I","Tanzania","Not specified","Borgdorff, M. W., L. R. Barongo, A. H. Klokke, et al.",1995,"HIV-1 Incidence and HIV-1 Associated Mortality in a Cohort of Urban Factory Workers in Tanzania","Genitourinary Medicine, vol. 71, pp. 212-215.","HIV1","2","-1","-1.00","1.09","BW","ELISA, WB","165"
"9","TZA","Not specified","1991-1993","Factory workers","N","M","35Y44Y","B0262","433.1 person yrs. of observation.  Breakdown by age is provided.","I","Tanzania","Not specified","Borgdorff, M. W., L. R. Barongo, A. H. Klokke, et al.",1995,"HIV-1 Incidence and HIV-1 Associated Mortality in a Cohort of Urban Factory Workers in Tanzania","Genitourinary Medicine, vol. 71, pp. 212-215.","HIV1","7","-1","-1.00","1.62","BW","ELISA, WB","411"
"8","TZA","Not specified","1991-1993","Factory workers","N","M","25Y34Y","B0262","342.8 person yrs. of observation.  Breakdown by age is provided.","I","Tanzania","Not specified","Borgdorff, M. W., L. R. Barongo, A. H. Klokke, et al.",1995,"HIV-1 Incidence and HIV-1 Associated Mortality in a Cohort of Urban Factory Workers in Tanzania","Genitourinary Medicine, vol. 71, pp. 212-215.","HIV1","5","-1","-1.00","1.46","BW","ELISA, WB","409"
"3","TZA","Kisesa ward","2006-2016","Partners of HIV+ individuals","O","F","ALL","C1716","221.50 person yrs. of observation.  Located in northwest Tanzania.  Discordant couple study.  Rapid tests: Determine & Unigold.","I","Tanzania","Kisesa ward","Colombe, S., J. Beard, B. Mtenga, et al.",2019,"HIV-Seroconversion among HIV-1 Serodiscordant Married Couples in Tanzania: A Cohort Study","BMC Infectious Diseases, vol. 19, article no. 518, <https://doi.org/10.1186/s12879-019-4151-8>, accessed on June 18, 2019.","HIV1","13","-1","-1.00","5.86","BS","ELISA*2/RAPID*2","67"
"5","TZA","Moshi","2003-2007","Testing center attendees","O","F","ALL","L0548","41639 person yrs. of observation.  Site: KIWAKKUKI AIDS Information Centre.  Free-standing VCT clinic.  Located in northern Tanzania.  Age 18+.  Nov. 03 - Dec. 07.","I","Tanzania","KIWAKKUKI AIDS Information Centre","Landman, K. Z., J. Ostermann, J. A. Crump, et al.",2008,"Gender Differences in the Risk of HIV Infection among Persons Reporting Abstinence, Monogamy, and Multiple Sexual ...","PLoS One, vol. 3, issue 8, e3075, <http://www.plosone.org>, accessed on November 10, 2008.","HIV","913","-1","-1.00","2.19","B","UNK","3,607"
"4","TZA","Moshi","2003-2007","Testing center attendees","O","M","ALL","L0548","32700 person yrs. of observation.  Site: KIWAKKUKI AIDS Information Centre.  Free-standing VCT clinic.  Located in northern Tanzania.  Age 18+.  Nov. 03 - Dec. 07.","I","Tanzania","KIWAKKUKI AIDS Information Centre","Landman, K. Z., J. Ostermann, J. A. Crump, et al.",2008,"Gender Differences in the Risk of HIV Infection among Persons Reporting Abstinence, Monogamy, and Multiple Sexual ...","PLoS One, vol. 3, issue 8, e3075, <http://www.plosone.org>, accessed on November 10, 2008.","HIV","280","-1","-1.00","0.86","B","UNK","2,942"
"2","TZA","Kisesa ward","2006-2016","Partners of HIV+ individuals","O","M","ALL","C1716","149.43 person yrs.of observation.  Located in northwest Tanzania.  Discordant couple study.  Rapid tests: Determine & Unigold.","I","Tanzania","Kisesa ward","Colombe, S., J. Beard, B. Mtenga, et al.",2019,"HIV-Seroconversion among HIV-1 Serodiscordant Married Couples in Tanzania: A Cohort Study","BMC Infectious Diseases, vol. 19, article no. 518, <https://doi.org/10.1186/s12879-019-4151-8>, accessed on June 18, 2019.","HIV1","1","-1","-1.00","0.67","BS","ELISA*2/RAPID*2","38"
"1","TZA","Kisesa ward","2006-2016","Partners of HIV+ individuals","O","B","ALL","C1716","Located in northwest Tanzania.  Discordant couple study.  Breakdown by sex is provided.  Rapid tests: Determine & Unigold.","I","Tanzania","Kisesa ward","Colombe, S., J. Beard, B. Mtenga, et al.",2019,"HIV-Seroconversion among HIV-1 Serodiscordant Married Couples in Tanzania: A Cohort Study","BMC Infectious Diseases, vol. 19, article no. 518, <https://doi.org/10.1186/s12879-019-4151-8>, accessed on June 18, 2019.","HIV1","14","-1","-1.00","3.80","BS","ELISA*2/RAPID*2","105"
"7","TZA","Not specified","1991-1993","Factory workers","N","M","15Y25Y","B0262","211.7 person yrs. of observation.  Urban area in Northwest Tanzania.  1 Oct. 91 - 30 Sept. 93.","I","Tanzania","Not specified","Borgdorff, M. W., L. R. Barongo, A. H. Klokke, et al.",1995,"HIV-1 Incidence and HIV-1 Associated Mortality in a Cohort of Urban Factory Workers in Tanzania","Genitourinary Medicine, vol. 71, pp. 212-215.","HIV1","1","-1","-1.00","0.47","BW","ELISA, WB","340"
"6","TZA","Not specified","1991-1993","Factory workers","N","F","ALL","B0262","195 person yrs. of observation.  Breakdown by age is provided.","I","Tanzania","Not specified","Borgdorff, M. W., L. R. Barongo, A. H. Klokke, et al.",1995,"HIV-1 Incidence and HIV-1 Associated Mortality in a Cohort of Urban Factory Workers in Tanzania","Genitourinary Medicine, vol. 71, pp. 212-215.","HIV1","2","-1","-1.00","1.03","BW","ELISA, WB","242"
"7","TZA","Northwest area","2004-2006","Sex workers & workers","X","F","ALL","W0338","676 person yrs. of observation.  19 communities.  From bar, guesthouse, & other food/recreational facilities.  Placebo group.  On-treatment analysis.  Age range 16-35 yrs.  Jan. 04 - May 06.  LIA test: INNO-LIA.","I","Tanzania","Northwest area","Watson-Jones, D., H. A. Weiss, M. Rusizoka, et al.",2008,"Effect of Herpes Simplex Suppression on Incidence of HIV among Women in Tanzania","New England Journal of Medicine, vol. 358, no. 15, pp. 1560-1571, <http://www.nejm.org>, accessed on March 28, 2008.","HIV","27","-1","-1.00","3.99","BW","ELISA*4, LIA","246"
"5","TZA","Not specified","1991-1993","Factory workers","N","M","ALL","B0262","1171 person yrs. of observation.  Urban area in Northwest Tanzania.  Breakdown by age is provided.  1 Oct. 91 - 30 Sept. 93.","I","Tanzania","Not specified","Borgdorff, M. W., L. R. Barongo, A. H. Klokke, et al.",1995,"HIV-1 Incidence and HIV-1 Associated Mortality in a Cohort of Urban Factory Workers in Tanzania","Genitourinary Medicine, vol. 71, pp. 212-215.","HIV1","15","-1","-1.00","1.28","BW","ELISA, WB","1,325"
"8","TZA","Four regions","2003-2007","Sex workers","P","F","ALL","W0389","778 person yrs. of observation.  Regions: Mwanza, Shinyanga, Tabora, & Mara.  Located in Lake Victoria zone.  Working in bars, guesthouses, & similar facilities in 19 communities.  HSV-2+.  Placebo group.  LIA test: INNO-LIA.","I","Tanzania","Mwanza, Shinyanga, Tabora, Mara regions","Watson-Jones, D., K. Baisley, H. A. Weiss, et al.",2009,"Risk Factors for HIV Incidence in Women Participating in an HSV Suppressive Treatment Trial in Tanzania","AIDS, vol. 23, no. 3, pp. 415-422.","HIV","33","-1","-1.00","4.24","BW","ELISA*2, ELISA, LIA","421"
"4","TZA","Four regions","2003-2007","Sex workers","P","F","30Y35Y","W0389","603 person yrs. of observation.  Regions: Mwanza, Shinyanga, Tabora, & Mara.  Located in Lake Victoria zone.  Working in bars, guesthouses, & similar facilities in 19 communities.  LIA test: INNO-LIA.","I","Tanzania","Mwanza, Shinyanga, Tabora, Mara regions","Watson-Jones, D., K. Baisley, H. A. Weiss, et al.",2009,"Risk Factors for HIV Incidence in Women Participating in an HSV Suppressive Treatment Trial in Tanzania","AIDS, vol. 23, no. 3, pp. 415-422.","HIV","15","-1","-1.00","2.49","BW","ELISA*2, ELISA, LIA","323"
"9","TZA","Four regions","2003-2007","Sex workers","P","F","ALL","W0389","699 person yrs. of observation.  Regions: Mwanza, Shinyanga, Tabora, & Mara.  Located in Lake Victoria zone.  Working in bars, guesthouses, & similar facilities in 19 communities.  HSV-2+.  Acyclovir group.  LIA test: INNO-LIA.","I","Tanzania","Mwanza, Shinyanga, Tabora, Mara regions","Watson-Jones, D., K. Baisley, H. A. Weiss, et al.",2009,"Risk Factors for HIV Incidence in Women Participating in an HSV Suppressive Treatment Trial in Tanzania","AIDS, vol. 23, no. 3, pp. 415-422.","HIV","30","-1","-1.00","4.29","BW","ELISA*2, ELISA, LIA","400"
"7","TZA","Four regions","2003-2007","Sex workers","P","F","16Y19Y","W0389","78 person yrs. of observation.  Regions: Mwanza, Shinyanga, Tabora, & Mara.  Located in Lake Victoria zone.  Working in bars, guesthouses, & similar facilities in 19 communities.  LIA test: INNO-LIA.","I","Tanzania","Mwanza, Shinyanga, Tabora, Mara regions","Watson-Jones, D., K. Baisley, H. A. Weiss, et al.",2009,"Risk Factors for HIV Incidence in Women Participating in an HSV Suppressive Treatment Trial in Tanzania","AIDS, vol. 23, no. 3, pp. 415-422.","HIV","8","-1","-1.00","10.26","BW","ELISA*2, ELISA, LIA","50"
"6","TZA","Four regions","2003-2007","Sex workers","P","F","20Y24Y","W0389","328 person yrs. of observation.  Regions: Mwanza, Shinyanga, Tabora, & Mara.  Located in Lake Victoria zone.  Working in bars, guesthouses, & similar facilities in 19 communities.  LIA test: INNO-LIA.","I","Tanzania","Mwanza, Shinyanga, Tabora, Mara regions","Watson-Jones, D., K. Baisley, H. A. Weiss, et al.",2009,"Risk Factors for HIV Incidence in Women Participating in an HSV Suppressive Treatment Trial in Tanzania","AIDS, vol. 23, no. 3, pp. 415-422.","HIV","16","-1","-1.00","4.88","BW","ELISA*2, ELISA, LIA","198"
"5","TZA","Four regions","2003-2007","Sex workers","P","F","25Y29Y","W0389","468 person yrs.  of observation.  Regions: Mwanza, Shinyanga, Tabora, & Mara.  Located in Lake Victoria zone.  Working in bars, guesthouses, & similar facilities in 19 communities.  LIA test: INNO-LIA.","I","Tanzania","Mwanza, Shinyanga, Tabora, Mara regions","Watson-Jones, D., K. Baisley, H. A. Weiss, et al.",2009,"Risk Factors for HIV Incidence in Women Participating in an HSV Suppressive Treatment Trial in Tanzania","AIDS, vol. 23, no. 3, pp. 415-422.","HIV","24","-1","-1.00","5.13","BW","ELISA*2, ELISA, LIA","250"
"3","TZA","Four regions","2003-2007","Sex workers","P","F","ALL","W0389","1477 person yrs.  of observation.  Regions: Mwanza, Shinyanga, Tabora, & Mara.  Located in Lake Victoria zone.  Working in bars, guesthouses, & similar facilities in 19 communities.  Breakdown by age & study group is provided.  LIA test: INNO-LIA.","I","Tanzania","Mwanza, Shinyanga, Tabora, Mara regions","Watson-Jones, D., K. Baisley, H. A. Weiss, et al.",2009,"Risk Factors for HIV Incidence in Women Participating in an HSV Suppressive Treatment Trial in Tanzania","AIDS, vol. 23, no. 3, pp. 415-422.","HIV","63","-1","-1.00","4.27","BW","ELISA*2, ELISA, LIA","659"
"2","TZA","Four regions","2003-2007","Sex workers","P","F","ALL","W0389","67 person yrs. of observation.  Regions: Mwanza, Shinyanga, Tabora, & Mara.  Located in Lake Victoria zone.  Working in bars, guesthouses, & similar facilities in 19 communities.  Had injection outside trial clinic since last visit.  LIA test: INNO-LIA.","I","Tanzania","Mwanza, Shinyanga, Tabora, Mara regions","Watson-Jones, D., K. Baisley, H. A. Weiss, et al.",2009,"Risk Factors for HIV Incidence in Women Participating in an HSV Suppressive Treatment Trial in Tanzania","AIDS, vol. 23, no. 3, pp. 415-422.","HIV","8","-1","-1.00","11.94","BW","ELISA*2, ELISA, LIA","255"
"1","TZA","Four regions","2003-2007","Sex workers","P","F","ALL","W0389","4 person yrs. of observation.  Regions: Mwanza, Shinyanga, Tabora, & Mara.  Located in Lake Victoria zone.  Working in bars, guesthouses, & similar facilities in 19 communities.  Had blood tranfusion since last clinic visit.  LIA test: INNO-LIA.","I","Tanzania","Mwanza, Shinyanga, Tabora, Mara regions","Watson-Jones, D., K. Baisley, H. A. Weiss, et al.",2009,"Risk Factors for HIV Incidence in Women Participating in an HSV Suppressive Treatment Trial in Tanzania","AIDS, vol. 23, no. 3, pp. 415-422.","HIV","1","-1","-1.00","25.00","BW","ELISA*2, ELISA, LIA","12"
"6","TZA","Northwest area","2004-2006","Sex workers & workers","X","F","ALL","W0338","605 person yrs. of observation.  19 communities.  From bar, guesthouse, & other food/recreational facilities.  Acyclovir group.  On-treatment analysis.  Age range 16-35 yrs.  Jan. 04 - May 06.  LIA test: INNO-LIA.","I","Tanzania","Northwest area","Watson-Jones, D., H. A. Weiss, M. Rusizoka, et al.",2008,"Effect of Herpes Simplex Suppression on Incidence of HIV among Women in Tanzania","New England Journal of Medicine, vol. 358, no. 15, pp. 1560-1571, <http://www.nejm.org>, accessed on March 28, 2008.","HIV","27","-1","-1.00","4.46","BW","ELISA*4, LIA","212"
"5","TZA","Northwest area","2004-2006","Sex workers & workers","X","F","ALL","W0338","777 person yrs. of observation.  19 communities.  From bar, guesthouse, & other food/recreational facilities.  Placebo group.  Intention to treat analysis.  Age range 16-35 yrs.  Jan. 04 - May 06.  LIA test: INNO-LIA.","I","Tanzania","Northwest area","Watson-Jones, D., H. A. Weiss, M. Rusizoka, et al.",2008,"Effect of Herpes Simplex Suppression on Incidence of HIV among Women in Tanzania","New England Journal of Medicine, vol. 358, no. 15, pp. 1560-1571, <http://www.nejm.org>, accessed on March 28, 2008.","HIV","33","-1","-1.00","4.25","BW","ELISA*4, LIA","316"
"4","TZA","Northwest area","2004-2006","Sex workers & workers","X","F","ALL","W0338","699 person yrs. of observation.  19 communities.  From bar, guesthouse, & other food/recreational facilities.  Acyclovir group.  Intention to treat analysis.  Age range 16-35 yrs.  Jan. 04 - May 06.  LIA test: INNO-LIA.","I","Tanzania","Northwest area","Watson-Jones, D., H. A. Weiss, M. Rusizoka, et al.",2008,"Effect of Herpes Simplex Suppression on Incidence of HIV among Women in Tanzania","New England Journal of Medicine, vol. 358, no. 15, pp. 1560-1571, <http://www.nejm.org>, accessed on March 28, 2008.","HIV","30","-1","-1.00","4.29","BW","ELISA*4, LIA","280"
"3","TZA","Northwest area","2004-2006","Sex workers & workers","X","F","ALL","W0338","680 person yrs. of observation.  19 communities.  From bar, guesthouse, & other food/recreational facilities.  Placebo group.  Modified intention to treat analysis.  Age range 16-35 yrs.  Jan. 04 - May 06.  LIA test: INNO-LIA.","I","Tanzania","Northwest area","Watson-Jones, D., H. A. Weiss, M. Rusizoka, et al.",2008,"Effect of Herpes Simplex Suppression on Incidence of HIV among Women in Tanzania","New England Journal of Medicine, vol. 358, no. 15, pp. 1560-1571, <http://www.nejm.org>, accessed on March 28, 2008.","HIV","28","-1","-1.00","4.12","BW","ELISA*4, LIA","247"
"2","TZA","Northwest area","2004-2006","Sex workers & workers","X","F","ALL","W0338","607 person yrs. of observation.  19 communities.  From bar, guesthouse, & other food/recreational facilities.  Acyclovir group.  Modified intention to treat analysis.  Age range 16-35 yrs.  Jan. 04 - May 06.  LIA test: INNO-LIA.","I","Tanzania","Northwest area","Watson-Jones, D., H. A. Weiss, M. Rusizoka, et al.",2008,"Effect of Herpes Simplex Suppression on Incidence of HIV among Women in Tanzania","New England Journal of Medicine, vol. 358, no. 15, pp. 1560-1571, <http://www.nejm.org>, accessed on March 28, 2008.","HIV","27","-1","-1.00","4.45","BW","ELISA*4, LIA","212"
"20","TZA","Kyela district","2006-2011","Adults","N","F","45Y+","K1158","Only the incidence rate was given.  457 person yrs. of observation.  Located in Mbeya region, southwest Tanzania.  29 May 06 - 16 June 11.  Rapid test: Determine, STAT-PAK, or SD-Bioline.","I","Tanzania","Nine sites","Kroidl, I., E. Saathoff, L. Maganga, et al.",2016,"Effect of Wuchereria Bancrofti Infection on HIV Incidence in Southwest Tanzania: A Prospective Cohort Study","Lancet, vol. 388, no. 10054, pp. 1912-1920.","HIV","-1","-1","-1.00","0.44","B","RAPID, ELISA, WB","N/A"
"19","TZA","Kyela district","2006-2011","Adults","N","F","25Y44Y","K1158","Only the incidence rate was given.  399 person yrs. of observation.  Located in Mbeya region, southwest Tanzania.  29 May 06 - 16 June 11.  Rapid test: Determine, STAT-PAK, or SD-Bioline.","I","Tanzania","Nine sites","Kroidl, I., E. Saathoff, L. Maganga, et al.",2016,"Effect of Wuchereria Bancrofti Infection on HIV Incidence in Southwest Tanzania: A Prospective Cohort Study","Lancet, vol. 388, no. 10054, pp. 1912-1920.","HIV","-1","-1","-1.00","3.01","B","RAPID, ELISA, WB","N/A"
"18","TZA","Kyela district","2006-2011","Adults","N","F","14Y24Y","K1158","Only the incidence rate was given.  476 person yrs. of observation.  Located in Mbeya region, southwest Tanzania.  29 May 06 - 16 June 11.  Rapid test: Determine, STAT-PAK, or SD-Bioline.","I","Tanzania","Nine sites","Kroidl, I., E. Saathoff, L. Maganga, et al.",2016,"Effect of Wuchereria Bancrofti Infection on HIV Incidence in Southwest Tanzania: A Prospective Cohort Study","Lancet, vol. 388, no. 10054, pp. 1912-1920.","HIV","-1","-1","-1.00","0.84","B","RAPID, ELISA, WB","N/A"
"17","TZA","Kyela district","2006-2011","Adults","N","M","45Y+","K1158","Only the incidence rate was given.  316 person yrs. of observation.  Located in Mbeya region, southwest Tanzania.  29 May 06 - 16 June 11.  Rapid test: Determine, STAT-PAK, or SD-Bioline.","I","Tanzania","Nine sites","Kroidl, I., E. Saathoff, L. Maganga, et al.",2016,"Effect of Wuchereria Bancrofti Infection on HIV Incidence in Southwest Tanzania: A Prospective Cohort Study","Lancet, vol. 388, no. 10054, pp. 1912-1920.","HIV","-1","-1","-1.00","1.27","B","RAPID, ELISA, WB","N/A"
"16","TZA","Kyela district","2006-2011","Adults","N","M","25Y44Y","K1158","Only the incidence rate was given.  359 person yrs. of observation.  Located in Mbeya region, southwest Tanzania.  29 May 06 - 16 June 11.  Rapid test: Determine, STAT-PAK, or SD-Bioline.","I","Tanzania","Nine sites","Kroidl, I., E. Saathoff, L. Maganga, et al.",2016,"Effect of Wuchereria Bancrofti Infection on HIV Incidence in Southwest Tanzania: A Prospective Cohort Study","Lancet, vol. 388, no. 10054, pp. 1912-1920.","HIV","-1","-1","-1.00","1.95","B","RAPID, ELISA, WB","N/A"
"15","TZA","Kyela district","2006-2011","Adults","N","M","14Y24Y","K1158","Only the incidence rate was given.  618 person yrs. of observation.  Located in Mbeya region, southwest Tanzania.  29 May 06 - 16 June 11.  Rapid test: Determine, STAT-PAK, or SD-Bioline.","I","Tanzania","Nine sites","Kroidl, I., E. Saathoff, L. Maganga, et al.",2016,"Effect of Wuchereria Bancrofti Infection on HIV Incidence in Southwest Tanzania: A Prospective Cohort Study","Lancet, vol. 388, no. 10054, pp. 1912-1920.","HIV","-1","-1","-1.00","0.49","B","RAPID, ELISA, WB","N/A"
"14","TZA","Kyela district","2006-2011","Adults - circumcised","N","M","45Y+","K1158","Only the incidence rate was given.  23 person yrs. of observation.  Located in Mbeya region, southwest Tanzania.  29 May 06 - 16 June 11.  Rapid test: Determine, STAT-PAK, or SD-Bioline.","I","Tanzania","Nine sites","Kroidl, I., E. Saathoff, L. Maganga, et al.",2016,"Effect of Wuchereria Bancrofti Infection on HIV Incidence in Southwest Tanzania: A Prospective Cohort Study","Lancet, vol. 388, no. 10054, pp. 1912-1920.","HIV","-1","-1","-1.00","0.00","B","RAPID, ELISA, WB","N/A"
"13","TZA","Kyela district","2006-2011","Adults - circumcised","N","M","25Y44Y","K1158","Only the incidence rate was given.  73 person yrs. of observation.  Located in Mbeya region, southwest Tanzania.  29 May 06 - 16 June 11.  Rapid test: Determine, STAT-PAK, or SD-Bioline.","I","Tanzania","Nine sites","Kroidl, I., E. Saathoff, L. Maganga, et al.",2016,"Effect of Wuchereria Bancrofti Infection on HIV Incidence in Southwest Tanzania: A Prospective Cohort Study","Lancet, vol. 388, no. 10054, pp. 1912-1920.","HIV","-1","-1","-1.00","1.37","B","RAPID, ELISA, WB","N/A"
"12","TZA","Kyela district","2006-2011","Adults - circumcised","N","M","14Y24Y","K1158","Only the incidence rate was given.  57 person yrs. of observation.  Located in Mbeya region, southwest Tanzania.  29 May 06 - 16 June 11.  Rapid test: Determine, STAT-PAK, or SD-Bioline.","I","Tanzania","Nine sites","Kroidl, I., E. Saathoff, L. Maganga, et al.",2016,"Effect of Wuchereria Bancrofti Infection on HIV Incidence in Southwest Tanzania: A Prospective Cohort Study","Lancet, vol. 388, no. 10054, pp. 1912-1920.","HIV","-1","-1","-1.00","0.00","B","RAPID, ELISA, WB","N/A"
"11","TZA","Kyela district","2006-2011","Adults - uncircumcised","N","M","45Y+","K1158","Only the incidence rate was given.  293 person yrs. of observation.  Located in Mbeya region, southwest Tanzania.  29 May 06 - 16 June 11.  Rapid test: Determine, STAT-PAK, or SD-Bioline.","I","Tanzania","Nine sites","Kroidl, I., E. Saathoff, L. Maganga, et al.",2016,"Effect of Wuchereria Bancrofti Infection on HIV Incidence in Southwest Tanzania: A Prospective Cohort Study","Lancet, vol. 388, no. 10054, pp. 1912-1920.","HIV","-1","-1","-1.00","1.37","B","RAPID, ELISA, WB","N/A"
"10","TZA","Kyela district","2006-2011","Adults - uncircumcised","N","M","25Y44Y","K1158","Only the incidence rate was given.  286 person yrs. of observation.  Located in Mbeya region, southwest Tanzania.  29 May 06 - 16 June 11.  Rapid test: Determine, STAT-PAK, or SD-Bioline.","I","Tanzania","Nine sites","Kroidl, I., E. Saathoff, L. Maganga, et al.",2016,"Effect of Wuchereria Bancrofti Infection on HIV Incidence in Southwest Tanzania: A Prospective Cohort Study","Lancet, vol. 388, no. 10054, pp. 1912-1920.","HIV","-1","-1","-1.00","2.10","B","RAPID, ELISA, WB","N/A"
"9","TZA","Kyela district","2006-2011","Adults - uncircumcised","N","M","14Y24Y","K1158","Only the incidence rate was given.  561 person yrs. of observation.  Located in Mbeya region, southwest Tanzania.  29 May 06 - 16 June 11.  Rapid test: Determine, STAT-PAK, or SD-Bioline.","I","Tanzania","Nine sites","Kroidl, I., E. Saathoff, L. Maganga, et al.",2016,"Effect of Wuchereria Bancrofti Infection on HIV Incidence in Southwest Tanzania: A Prospective Cohort Study","Lancet, vol. 388, no. 10054, pp. 1912-1920.","HIV","-1","-1","-1.00","0.53","B","RAPID, ELISA, WB","N/A"
"8","TZA","Kyela district","2006-2011","Spouses of HIV+ individuals","O","B","45Y+","K1158","Only the incidence rate was given.  24 person yrs. of observation.  Located in Mbeya region, southwest Tanzania.  29 May 06 - 16 June 11.  Rapid test: Determine, STAT-PAK, or SD-Bioline.","I","Tanzania","Nine sites","Kroidl, I., E. Saathoff, L. Maganga, et al.",2016,"Effect of Wuchereria Bancrofti Infection on HIV Incidence in Southwest Tanzania: A Prospective Cohort Study","Lancet, vol. 388, no. 10054, pp. 1912-1920.","HIV","-1","-1","-1.00","12.34","B","RAPID, ELISA, WB","N/A"
"7","TZA","Kyela district","2006-2011","Spouses of HIV+ individuals","O","B","25Y44Y","K1158","Only the incidence rate was given.  51 person yrs. of observation.  Located in Mbeya region, southwest Tanzania.  29 May 06 - 16 June 11.  Rapid test: Determine, STAT-PAK, or SD-Bioline.","I","Tanzania","Nine sites","Kroidl, I., E. Saathoff, L. Maganga, et al.",2016,"Effect of Wuchereria Bancrofti Infection on HIV Incidence in Southwest Tanzania: A Prospective Cohort Study","Lancet, vol. 388, no. 10054, pp. 1912-1920.","HIV","-1","-1","-1.00","11.87","B","RAPID, ELISA, WB","N/A"
"6","TZA","Kyela district","2006-2011","Spouses of HIV+ individuals","O","B","14Y24Y","K1158","Only the incidence rate was given.  6 person yrs. of observation.  Located in Mbeya region, southwest Tanzania.  29 May 06 - 16 June 11.  Rapid test: Determine, STAT-PAK, or SD-Bioline.","I","Tanzania","Nine sites","Kroidl, I., E. Saathoff, L. Maganga, et al.",2016,"Effect of Wuchereria Bancrofti Infection on HIV Incidence in Southwest Tanzania: A Prospective Cohort Study","Lancet, vol. 388, no. 10054, pp. 1912-1920.","HIV","-1","-1","-1.00","0.00","B","RAPID, ELISA, WB","N/A"
"5","TZA","Kyela district","2006-2011","Adults","N","B","15Y+","K1158","3768 person yrs. of observation.  Located in Mbeya region, southwest Tanzania.  29 May 06 - 16 June 11.  Rapid test: Determine, STAT-PAK, or SD-Bioline.","I","Tanzania","Nine sites","Kroidl, I., E. Saathoff, L. Maganga, et al.",2016,"Effect of Wuchereria Bancrofti Infection on HIV Incidence in Southwest Tanzania: A Prospective Cohort Study","Lancet, vol. 388, no. 10054, pp. 1912-1920.","HIV","44","-1","-1.00","1.17","B","RAPID, ELISA, WB","1,334"
"9","TZA","Mwanza City","2002-2004","High risk groups","O","F","ALL","V0270","10 administrative wards.  Located in northern Tanzania.  Some pregnant.  Followed for 12 mos.  Group included: testaurant/bar workers.  July 02 - Dec. 04.","I","Tanzania","Mwanza City","Vallely, A., I. R. Hambleton, S. Kasindi, et al.",2010,"Are Women Who Work in Bars, Guesthouses and Similar Facilities a Suitable Study Population for Vaginal Microbicide Trials in ...","PLoS One, vol. 5, issue 5, e10661, pp. 1-9, <www.plosone.org>, accessed on June 18, 2010.","HIV","-1","-1","-1.00","5.70","BW","UNK","N/A"
"3","TZA","Kyela district","2006-2011","Children","C","B","<06Y","K1158","986 person yrs. of observation.  Located in Mbeya region, southwest Tanzania.  29 May 06 - 16 June 11.  Rapid test: Determine, STAT-PAK, or SD-Bioline.","I","Tanzania","Nine sites","Kroidl, I., E. Saathoff, L. Maganga, et al.",2016,"Effect of Wuchereria Bancrofti Infection on HIV Incidence in Southwest Tanzania: A Prospective Cohort Study","Lancet, vol. 388, no. 10054, pp. 1912-1920.","HIV","4","-1","-1.00","0.41","B","RAPID, ELISA, WB/PCR","N/A"
"7","TZA","Mwanza City","2002-2004","High risk groups","O","F","ALL","V0270","10 administrative wards.  Located in northern Tanzania.  Some pregnant.  Followed for 12 mos.  Group included: mamalishe/pombe workers.  July 02 - Dec. 04.","I","Tanzania","Mwanza City","Vallely, A., I. R. Hambleton, S. Kasindi, et al.",2010,"Are Women Who Work in Bars, Guesthouses and Similar Facilities a Suitable Study Population for Vaginal Microbicide Trials in ...","PLoS One, vol. 5, issue 5, e10661, pp. 1-9, <www.plosone.org>, accessed on June 18, 2010.","HIV","-1","-1","-1.00","2.00","BW","UNK","N/A"
"5","TZA","Mwanza City","2002-2004","High risk groups","O","F","ALL","V0270","123.3 person yrs. of observation.  10 administrative wards.  Located in northern Tanzania.  Followed for 12 mos.  Group included: restaurant/bar/grocery workers.  July 02 - Dec. 04.","I","Tanzania","Mwanza City","Vallely, A., I. R. Hambleton, S. Kasindi, et al.",2010,"Are Women Who Work in Bars, Guesthouses and Similar Facilities a Suitable Study Population for Vaginal Microbicide Trials in ...","PLoS One, vol. 5, issue 5, e10661, pp. 1-9, <www.plosone.org>, accessed on June 18, 2010.","HIV","5","-1","-1.00","4.06","BW","UNK","202"
